SKU unidad negocio,Codigo regional,Descripcion,EAN,Proveedor,Equipo,PM asociado,Trazabilidad levantamiento,Etapa
1746257,False,BEBIDA MANZANA C/GAS GEROLSTEINER 750ML,4001513004857,GEROLSTEINER BRUNNEN GMBH & CO. KG,FOOD IMPORTADOS,Magdalena Benavente,FOOD IMPORTADOS/GEROLSTEINER BRUNNEN GMBH & CO. KG,Proyectado
272322,False,SALSA PARA CARNE (GRAVY) MCCORMICK 24G,52100098609,MCCORMICK DE COLOMBIA SAS,FOOD IMPORTADOS,Magdalena Benavente,FOOD IMPORTADOS/MCCORMICK DE COLOMBIA SAS,Proyectado
1699642,False,CHOCOLATE CON COCO CHOCOFUN 175G,4000415358501,LUDWIG SCHOKOLADE GMBH,FOOD IMPORTADOS,Adriana Hernández,FOOD IMPORTADOS/LUDWIG SCHOKOLADE GMBH,Proyectado
1839882,False,MUÑEQUITAS DISNEY,2090001416342,JAKKS PACIFIC (HK) LIMITED,NON FOOD HARD,María José Collado,NON FOOD HARD/JAKKS PACIFIC (HK) LIMITED,Proyectado
1733521,False,DISNEY MINI PRINCESA,2090001311289,JAKKS PACIFIC (HK) LIMITED,NON FOOD HARD,María José Collado,NON FOOD HARD/JAKKS PACIFIC (HK) LIMITED,Proyectado
1652606,False,JUMBITO PELUCHE 20 CM,2090001182629,"NANJING HIGHTOP TOYS AND GIFTS CO.,",NON FOOD HARD,María José Collado,NON FOOD HARD/NANJING HIGHTOP INT#L TOYS AND GIFT,Proyectado
1866889,False,TRICICLO MICKEY,2090001434100,JAKKS PACIFIC (HK) LIMITED,NON FOOD HARD,María José Collado,NON FOOD HARD/JAKKS PACIFIC (HK) LIMITED,Proyectado
1866892,False,MINNIE TRICICLO,2090001439235,JAKKS PACIFIC (HK) LIMITED,NON FOOD HARD,María José Collado,NON FOOD HARD/JAKKS PACIFIC (HK) LIMITED,Proyectado
1866895,False,MUÑEQUITAS DISNEY PRINCESAS CELEBRATION,2090001439266,JAKKS PACIFIC (HK) LIMITED,NON FOOD HARD,María José Collado,NON FOOD HARD/JAKKS PACIFIC (HK) LIMITED,Proyectado
1690727,False,INFLADOR MANUAL BESTWAY,6942138917802,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONK KONG) INTERNATIONAL,Proyectado
1690728,False,INFLADOR DE PIE GIGANTE 68610,6942138917925,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONK KONG) INTERNATIONAL,Proyectado
1789702,False,BIA PACK COVER ASIENTO Y GUANTES,2090001387666,PAT AVENUE HK LIMITED,NON FOOD HARD,María José Collado,NON FOOD HARD/PAT AVENUE HK LIMITED,Proyectado
1842073,False,S ALITAS NIÑOS CUTY TREK 6A12 AÑOS V21,2090001417677,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONK KONG) INTERNATIONAL,Proyectado
1870234,False,PISCINA ESTRUC REDO 3.66x0.76 V22,2090001438085,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONG KONG) INTERNATIONAL LIMITED,Proyectado
1870235,False,PISCINA ESTRUC REDO C/FILTRO LT 4.600V22,2090001438054,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONG KONG) INTERNATIONAL LIMITED,Proyectado
1870231,False,MINI PISCINA ESTRUCT RECTANG LT 365 V22,2090001438061,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONG KONG) INTERNATIONAL LIMITED,Proyectado
1870233,False,PISCINA ESTRUC RECTANGULAR LT 3300V22,2090001438108,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONG KONG) INTERNATIONAL LIMITED,Proyectado
1870237,False,CARTUCHO FILTRO PISCINA BESTWAY V22,2090001438030,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONG KONG) INTERNATIONAL LIMITED,Proyectado
1870238,False,ALITAS FRUTAS 3 A 6 AÑOS V22,2090001438092,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONG KONG) INTERNATIONAL LIMITED,Proyectado
1870241,False,PISCINA MINI ACUARIO 1.53MXH30CM V22,2090001437996,BESTWAY (HONK KONG) INTERNATIONAL,NON FOOD HARD,María José Collado,NON FOOD HARD/BESTWAY (HONG KONG) INTERNATIONAL LIMITED,Proyectado
