SKU unidad negocio,Codigo regional,Descripcion,EAN,Proveedor,Equipo,PM asociado,Trazabilidad levantamiento,Etapa
1882498,V22BGGT07-B2,V22GATEADOR BEBA MAFALD PRINT DENIM DOTS,False,FUJIAN YONTEK IMPORT AND EXPORT CO.,VESTUARIO,Andrea Hrepic,VESTUARIO/FUJIAN YONTEK IMPORT AND EXPORT CO.,Completado
1559896,False,HAW MUJER ESTILO VERDE,False,CBS S/A COMPANHIA BRASILEIRA DE SAN,VESTUARIO,Maria Ignacia Pinto,SMK/FUERA DEL ALCANCE,Completado
1882552,V22MUPA4-C,V22 PANUELO MUJER LEOPARD WHITE BLACK,False,WENZHOU PLEASURE TRADE CO LTD,VESTUARIO,Maria Ignacia Pinto,SMK/FUERA DEL ALCANCE,Completado
1882553,V22MUPA5-C,V22 PANUELO MUJER PRINT BLUE PINK,False,WENZHOU PLEASURE TRADE CO LTD,VESTUARIO,Maria Ignacia Pinto,SMK/FUERA DEL ALCANCE,Completado
1869415,V22WMBIBT02B,V22 BOTTOM BRASIL LISO BLACK,False,QICAIHU GARMENTS WEAVING CO  LTD J,VESTUARIO,Daniela Walters,SMK/FUERA DEL ALCANCE,Completado
1869440,V22WMBIBT29B,V22 BOTTOM BRASIL PRINT KNOT,False,QICAIHU GARMENTS WEAVING CO  LTD J,VESTUARIO,Daniela Walters,SMK/FUERA DEL ALCANCE,Completado
1887007,I22WMSP10K,OI22 PDQ CALCETI MUJER CHIPORRO ASSORTED,False,LAURA & CLAIRE LTD.,VESTUARIO,Paula Molina,VESTUARIO/LAURA & CLAIRE LTD.,Completado
1883907,OI22MNBX07B,OI22 CAL LARGO COTTON HOMBRE BL TSAXL,False,SICHUAN TEXTILES IMPORT & EXPORT LI,VESTUARIO,Daniela Walters,VESTUARIO/SICHUAN TEXTILES IMPORT & EXPORT LI,Completado
1886586,I22KBCM04B1,OI22 CAMISETA POLAR ML NINO NAVY,False,"YIWU RICHWAY IMPORT & EXPORT CO.,",VESTUARIO,Daniela Walters,False,Completado
1888617,O22BGJG02-B2,OI22 JEGGING TWILL BEBA PINK NECTAR,False,PASTEL APPARELS LIMITED,VESTUARIO,Andrea Hrepic,VESTUARIO/PASTEL APPARELS LIMITED,Completado
1886279,OI22KGJE00-B,OI22 JEANS NIÑA BASICO SKINNY REGULAR,False,PASTEL APPARELS LIMITED,VESTUARIO,Treicy Norambuena,VESTUARIO/PASTEL APPARELS LIMITED,Completado
1886756,OI22WMPJ027K,OI22 PIJ HOSP MUJ MLPL VISCOS FLORALDOTS,False,SICHUAN TEXTILES IMPORT & EXPORT LI,VESTUARIO,Daniela Walters,VESTUARIO/SICHUAN TEXTILES IMPORT & EXPORT LI,Completado
1886245,O22KGJG02-B3,OI22 JEGGING NIÑA COLOR CAVIAR,False,PASTEL APPARELS LIMITED,VESTUARIO,Treicy Norambuena,VESTUARIO/PASTEL APPARELS LIMITED,Completado
1886243,O22KGJG02-B1,OI22 JEGGING NIÑA COLOR BLUSH,False,PASTEL APPARELS LIMITED,VESTUARIO,Treicy Norambuena,VESTUARIO/PASTEL APPARELS LIMITED,Completado
1886439,OI22KBJE00-B2,OI22 JEANS NIÑO SLIM FIT BLACK DENIM,False,PASTEL APPARELS LIMITED,VESTUARIO,Treicy Norambuena,VESTUARIO/PASTEL APPARELS LIMITED,Completado
1888716,O22BBPK04-B2,OI22 PARKA SM BEBO PRINT STEEL GREY,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Andrea Hrepic,False,Completado
1886438,OI22KBJE00-B1,OI22 JEANS NIÑO SLIM FIT REGULAR DENIM,False,PASTEL APPARELS LIMITED,VESTUARIO,Treicy Norambuena,VESTUARIO/PASTEL APPARELS LIMITED,Completado
1886244,O22KGJG02-B2,OI22 JEGGING NIÑA COLOR FADED DENIM,False,PASTEL APPARELS LIMITED,VESTUARIO,Treicy Norambuena,VESTUARIO/PASTEL APPARELS LIMITED,Completado
1889100,OI22HOPK02-B1,O22 H PARKA NYLON ML BLACK,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Paula Molina,False,Completado
1888715,O22BBPK04-B1,OI22 PARKA SM BEBO PRINT MULTICOLOR,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Andrea Hrepic,False,Completado
1888591,O22BGPK04-B2,OI22 PARKA SM BEBA PRINT COSTAL FJORD,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Andrea Hrepic,False,Completado
1888590,O22BGPK04-B1,OI22 PARKA SM BEBA PRINT MARSHMALLOW,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Andrea Hrepic,False,Completado
1886218,O22KGPK04-B2,OI22 PARKA SM NIÑA PRINT BLUE TINT,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Treicy Norambuena,False,Completado
1888616,O22BGJG02-B1,OI22 JEGGING TWILL BEBA ORCHID TINT,False,PASTEL APPARELS LIMITED,VESTUARIO,Andrea Hrepic,VESTUARIO/PASTEL APPARELS LIMITED,Completado
1888618,OI22BGJE00-B,OI22 JEANS BEBA BASICO DARK DENIM,False,PASTEL APPARELS LIMITED,VESTUARIO,Andrea Hrepic,VESTUARIO/PASTEL APPARELS LIMITED,Completado
1889097,O22HOPK01-B1,O22 H PARKA SM BLACK,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Paula Molina,False,Completado
1888579,O22BGCH01-B2,OI22 CHOMPA BEBA BASICO GREY MELANGE,False,"QINGDAO GLORY FASHIONS CO.,LTD",VESTUARIO,Andrea Hrepic,"VESTUARIO/QINGDAO GLORY FASHIONS CO.,LTD",Completado
1888578,O22BGCH01-B1,OI22 CHOMPA BEBA BASICO PRISM PINK,False,"QINGDAO GLORY FASHIONS CO.,LTD",VESTUARIO,Andrea Hrepic,"VESTUARIO/QINGDAO GLORY FASHIONS CO.,LTD",Completado
1886397,O22KBPK04-B2,OI22 PARKA SM NIÑO PRINT FOLKSTONE,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Treicy Norambuena,False,Completado
1887885,O22MJCQ01-B1,WM O22 PARKA BASICA SM BLACK,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Maria Concepcion Sanchez,False,Completado
1886217,O22KGPK04-B1,OI22 PARKA SM NIÑA PRINT MARSHMALLOW,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Treicy Norambuena,False,Completado
1888588,O22BGPK02-B1,OI22 PARKA SM BEBA LISA PEARL,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Andrea Hrepic,False,Completado
1887568,OI22KGPY02B2,OI22 PX2 PANTY G POLYAMIDE LISA PT DOTS,False,"YANCHENG JINGWEI INTL CO.,LTD",VESTUARIO,Paula Molina,False,Completado
1896211,I22BBCJ03-B1,I22 CONJ MICROPOLAR BEBO BASICO PAPRIKA,False,TIANJIN TIANTAI GARMENT I/E COLTD,VESTUARIO,Andrea Hrepic,VESTUARIO/TIANJIN TIANTAI GARMENT I/E COLTD,Completado
1887024,OI22WMPY12B1,OI22 PANTY MUJER POLYAMIDE OPACA BLACK,False,"YANCHENG JINGWEI INTL CO.,LTD",VESTUARIO,Paula Molina,False,Completado
1888589,O22BGPK02-B2,OI22 PARKA SM BEBA LISA DUSTY AQUA,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Andrea Hrepic,False,Completado
1896169,I22BGCJ03-B2,I22 CONJ MICROPOLAR BEBA MARSHMALLOW,False,TIANJIN TIANTAI GARMENT I/E COLTD,VESTUARIO,Andrea Hrepic,VESTUARIO/TIANJIN TIANTAI GARMENT I/E COLTD,Completado
1886281,O22KGJE02-K,OI22 JEANS NIÑA SKINNY PERLAS REGULAR,False,PASTEL APPARELS LIMITED,VESTUARIO,Treicy Norambuena,VESTUARIO/PASTEL APPARELS LIMITED,Completado
1888722,O22BBJE01-B1,OI22 JEANS BEBO KNIT DENIM REGULAR DENIM,False,PASTEL APPARELS LIMITED,VESTUARIO,Andrea Hrepic,VESTUARIO/PASTEL APPARELS LIMITED,Completado
1887026,OI22WMPY17B1,OI22 PANTY MUJER TRENZADA BLACK,False,"YANCHENG JINGWEI INTL CO.,LTD",VESTUARIO,Paula Molina,False,Completado
1886396,O22KBPK04-B1,OI22 PARKA SM NIÑO PRINT DARK IVY,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Treicy Norambuena,False,Completado
1886391,O22KBPK02-B3,OI22 PARKA SM NIÑO LISA TRUE NAVY,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Treicy Norambuena,False,Completado
1889101,OI22HOPK02-B2,O22 H PARKA NYLON ML BLUE 01,False,SUMEC TEXTILE & LIGHT INDUSTRY,VESTUARIO,Paula Molina,False,Completado
